raw_path,capture_directory,board,physical_board_id,role,selected_campaigns,analysis_status,failure_type,bytes,frames,sha256,recorded_sha256,recorded_hash_matches
captures/rp2040/20260910T112316.626879Z_rp2040_009/transport.raw4,captures/rp2040/20260910T112316.626879Z_rp2040_009,rp2040,RPI-PICO-RP2040-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg,structural_protocol_pass,,29972480,7493120,baa08ecebbfda3378ab28ee471b90d9cbae0d4f86ebfec180f79e301a87854c7,baa08ecebbfda3378ab28ee471b90d9cbae0d4f86ebfec180f79e301a87854c7,true
captures/rp2040/20260910T112543.185929Z_rp2040_010/transport.raw4,captures/rp2040/20260910T112543.185929Z_rp2040_010,rp2040,RPI-PICO-RP2040-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg,structural_protocol_pass,,29970432,7492608,e6d6206c9dccba33aced754594578884d704cf6890f53827c7f66e0a165a8281,e6d6206c9dccba33aced754594578884d704cf6890f53827c7f66e0a165a8281,true
captures/stm32/20260910T114226.110928Z_stm32_001/transport.partial.raw4,captures/stm32/20260910T114226.110928Z_stm32_001,stm32,NUCLEO-F446RE-01,incomplete_transport,,,AcquisitionError,12161024,3040256,a5ae515a93dd6f71d5b9494a8de17a57ba6a9c9b6d67cdf960ed973d0d325b63,,
captures/stm32/20260910T114711.826517Z_stm32_001/transport.partial.raw4,captures/stm32/20260910T114711.826517Z_stm32_001,stm32,NUCLEO-F446RE-01,incomplete_transport,,,AcquisitionError,12158976,3039744,38ecfca48172db5b305a926af3c4efd8f3355a03aaf263184197f65a3f53b61c,,
captures/stm32/20260910T114827.720111Z_stm32_001/transport.partial.raw4,captures/stm32/20260910T114827.720111Z_stm32_001,stm32,NUCLEO-F446RE-01,incomplete_transport,,,AcquisitionError,24156160,6039040,6d42768f234e45b0a0c670ee911538f2db68c398340dc09d435483532e59c57a,,
captures/stm32/20260910T115226.365361Z_stm32_001/transport.raw4,captures/stm32/20260910T115226.365361Z_stm32_001,stm32,NUCLEO-F446RE-01,rejected_complete,,structural_protocol_pass,AcquisitionError,20772864,5193216,5c54cbb7d7f248587e017890a9b051a8bddd29197238ed2c7a70627350188b3c,5c54cbb7d7f248587e017890a9b051a8bddd29197238ed2c7a70627350188b3c,true
captures/stm32/20260910T115912.942104Z_stm32_001/transport.raw4,captures/stm32/20260910T115912.942104Z_stm32_001,stm32,NUCLEO-F446RE-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,20770816,5192704,ac780fca048240567a39e7ab920ef69622488e239bbc8c36e4e59ba47befe99e,ac780fca048240567a39e7ab920ef69622488e239bbc8c36e4e59ba47befe99e,true
captures/stm32/20260910T120054.572322Z_stm32_002/transport.raw4,captures/stm32/20260910T120054.572322Z_stm32_002,stm32,NUCLEO-F446RE-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,20719616,5179904,ec01e831b87ae5b9754b53e82926a0214c89d0981587c49cae44f55ab709c5db,ec01e831b87ae5b9754b53e82926a0214c89d0981587c49cae44f55ab709c5db,true
captures/stm32/20260910T120239.878921Z_stm32_003/transport.raw4,captures/stm32/20260910T120239.878921Z_stm32_003,stm32,NUCLEO-F446RE-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,20713472,5178368,a5d41d7a306d5e02b1eef78ed2bde070153d1ba08594c802b2a58d6a6a9a5780,a5d41d7a306d5e02b1eef78ed2bde070153d1ba08594c802b2a58d6a6a9a5780,true
captures/stm32/20260910T120423.976352Z_stm32_004/transport.raw4,captures/stm32/20260910T120423.976352Z_stm32_004,stm32,NUCLEO-F446RE-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,20711424,5177856,4405de0fb925d2f94ac4de45b5a95b3f0a11b2f8c23f20f28ef73f37027165f0,4405de0fb925d2f94ac4de45b5a95b3f0a11b2f8c23f20f28ef73f37027165f0,true
captures/stm32/20260910T120607.538986Z_stm32_005/transport.raw4,captures/stm32/20260910T120607.538986Z_stm32_005,stm32,NUCLEO-F446RE-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,20707328,5176832,79be4cf746ad2c598b6eaca59eeb6aefb02403d83f243b285f5da9845a95429e,79be4cf746ad2c598b6eaca59eeb6aefb02403d83f243b285f5da9845a95429e,true
captures/stm32/20260910T120752.926254Z_stm32_006/transport.raw4,captures/stm32/20260910T120752.926254Z_stm32_006,stm32,NUCLEO-F446RE-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,20713472,5178368,6111157106aa4f3659015027bce75fda2b115c11a95c47f2d16acae129e2d060,6111157106aa4f3659015027bce75fda2b115c11a95c47f2d16acae129e2d060,true
captures/stm32/20260910T120938.660983Z_stm32_007/transport.raw4,captures/stm32/20260910T120938.660983Z_stm32_007,stm32,NUCLEO-F446RE-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,20717568,5179392,ee41f40a08db31560dc1e0990987f6e359274d73998caf05e538db4ee5f2dac2,ee41f40a08db31560dc1e0990987f6e359274d73998caf05e538db4ee5f2dac2,true
captures/stm32/20260910T121124.479390Z_stm32_008/transport.raw4,captures/stm32/20260910T121124.479390Z_stm32_008,stm32,NUCLEO-F446RE-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,20705280,5176320,67a560041382c2c6948f09d8ea14eb0cbdd285a38f3b1ff7ae57623ecbca8531,67a560041382c2c6948f09d8ea14eb0cbdd285a38f3b1ff7ae57623ecbca8531,true
captures/stm32/20260910T121309.937316Z_stm32_009/transport.raw4,captures/stm32/20260910T121309.937316Z_stm32_009,stm32,NUCLEO-F446RE-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,20711424,5177856,c92771b56263ed4108e64a87257032ab0a92d2d6181f5209c4dd19e1526c3499,c92771b56263ed4108e64a87257032ab0a92d2d6181f5209c4dd19e1526c3499,true
captures/stm32/20260910T121455.333430Z_stm32_010/transport.raw4,captures/stm32/20260910T121455.333430Z_stm32_010,stm32,NUCLEO-F446RE-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,20721664,5180416,7c74a15fd5a78eb43e9e3a03f3e983237b28b2fc0a3f58ce53039c51fce6f729,7c74a15fd5a78eb43e9e3a03f3e983237b28b2fc0a3f58ce53039c51fce6f729,true
captures_noreg/esp32/20260910T122823.710300Z_esp32_001/transport.raw4,captures_noreg/esp32/20260910T122823.710300Z_esp32_001,esp32,ESP32-D0WD-V3-01-NOREG,pilot,,structural_protocol_pass,,15433728,3858432,404f5f5cd605060b5fe06a87a0fe96093dce4fdfe012da219f6b3ce8a885c29a,404f5f5cd605060b5fe06a87a0fe96093dce4fdfe012da219f6b3ce8a885c29a,true
captures_noreg/esp32/20260910T123000.452016Z_esp32_001/transport.raw4,captures_noreg/esp32/20260910T123000.452016Z_esp32_001,esp32,ESP32-D0WD-V3-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,15431680,3857920,7989777af50596f1fa56bfe1e1a80b6f4c059624fe31f6ca0adda78d3b3b7477,7989777af50596f1fa56bfe1e1a80b6f4c059624fe31f6ca0adda78d3b3b7477,true
captures_noreg/esp32/20260910T123122.837343Z_esp32_002/transport.raw4,captures_noreg/esp32/20260910T123122.837343Z_esp32_002,esp32,ESP32-D0WD-V3-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,15380480,3845120,ca27691a8f2981ee9ce6c1cbc46e0bff7ce68a254655c567d8d0cced8241d475,ca27691a8f2981ee9ce6c1cbc46e0bff7ce68a254655c567d8d0cced8241d475,true
captures_noreg/esp32/20260910T123245.258284Z_esp32_003/transport.raw4,captures_noreg/esp32/20260910T123245.258284Z_esp32_003,esp32,ESP32-D0WD-V3-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,15380480,3845120,f20e78766c2a358cb1c87f3a8e63916f0e8c38845ecd8acd537b73feb6954350,f20e78766c2a358cb1c87f3a8e63916f0e8c38845ecd8acd537b73feb6954350,true
captures_noreg/esp32/20260910T123403.832085Z_esp32_004/transport.raw4,captures_noreg/esp32/20260910T123403.832085Z_esp32_004,esp32,ESP32-D0WD-V3-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,15378432,3844608,eba37d6875a78824f719d5d25d6fffe18dbc924672c9af01f77486783706c98f,eba37d6875a78824f719d5d25d6fffe18dbc924672c9af01f77486783706c98f,true
captures_noreg/esp32/20260910T123524.318691Z_esp32_005/transport.raw4,captures_noreg/esp32/20260910T123524.318691Z_esp32_005,esp32,ESP32-D0WD-V3-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,15380480,3845120,f549ef23b12f6b417f08b2b2e33c7fc9e09f42419cbf8a4c446ec8f7f0ce11c1,f549ef23b12f6b417f08b2b2e33c7fc9e09f42419cbf8a4c446ec8f7f0ce11c1,true
captures_noreg/esp32/20260910T123640.511140Z_esp32_006/transport.raw4,captures_noreg/esp32/20260910T123640.511140Z_esp32_006,esp32,ESP32-D0WD-V3-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,15378432,3844608,268ed794ab3cdabe5b4bdfe29570340a2887de70b97302efe50610c51d295770,268ed794ab3cdabe5b4bdfe29570340a2887de70b97302efe50610c51d295770,true
captures_noreg/esp32/20260910T123757.633087Z_esp32_007/transport.raw4,captures_noreg/esp32/20260910T123757.633087Z_esp32_007,esp32,ESP32-D0WD-V3-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,15380480,3845120,465ce647d6d0a8c8468792723aaa00141c6f45c14ea894c4d30223d953f4def5,465ce647d6d0a8c8468792723aaa00141c6f45c14ea894c4d30223d953f4def5,true
captures_noreg/esp32/20260910T123913.826997Z_esp32_008/transport.raw4,captures_noreg/esp32/20260910T123913.826997Z_esp32_008,esp32,ESP32-D0WD-V3-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,15380480,3845120,ea40721197c22868d9dfe3427237bf3b1bcad8df4bf137c1fe0e94f4ac90dac0,ea40721197c22868d9dfe3427237bf3b1bcad8df4bf137c1fe0e94f4ac90dac0,true
captures_noreg/esp32/20260910T124030.428881Z_esp32_009/transport.raw4,captures_noreg/esp32/20260910T124030.428881Z_esp32_009,esp32,ESP32-D0WD-V3-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,15378432,3844608,2ef6cb16f4cdad1223711e9390d5a04ace16110a882756870ca181e0477820c1,2ef6cb16f4cdad1223711e9390d5a04ace16110a882756870ca181e0477820c1,true
captures_noreg/esp32/20260910T124147.218835Z_esp32_010/transport.raw4,captures_noreg/esp32/20260910T124147.218835Z_esp32_010,esp32,ESP32-D0WD-V3-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_esp32_noreg;2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,15380480,3845120,54ec8e43a748fc3d65310de48318e33afa814134f8b6e37eba2510b0dd2ae928,54ec8e43a748fc3d65310de48318e33afa814134f8b6e37eba2510b0dd2ae928,true
captures_noreg/rp2040/20260910T125050.880663Z_rp2040_001/transport.raw4,captures_noreg/rp2040/20260910T125050.880663Z_rp2040_001,rp2040,RPI-PICO-RP2040-01-NOREG,pilot,,structural_protocol_pass,,30033920,7508480,e5cb79794d9ad651fa575714438db30427f7195920b4b785a069285c3302afb8,e5cb79794d9ad651fa575714438db30427f7195920b4b785a069285c3302afb8,true
captures_noreg/rp2040/20260910T125326.356969Z_rp2040_001/transport.raw4,captures_noreg/rp2040/20260910T125326.356969Z_rp2040_001,rp2040,RPI-PICO-RP2040-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,30021632,7505408,02bafddff85bb48cf8009a59e4dac2bdcde22b443e6fe47e45ea274839872f62,02bafddff85bb48cf8009a59e4dac2bdcde22b443e6fe47e45ea274839872f62,true
captures_noreg/rp2040/20260910T125545.775007Z_rp2040_002/transport.raw4,captures_noreg/rp2040/20260910T125545.775007Z_rp2040_002,rp2040,RPI-PICO-RP2040-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,29972480,7493120,d922b2c154eac6533d064d75aeed5a08e0fe872d429ef8a7e31f346917f53c58,d922b2c154eac6533d064d75aeed5a08e0fe872d429ef8a7e31f346917f53c58,true
captures_noreg/rp2040/20260910T125804.416262Z_rp2040_003/transport.raw4,captures_noreg/rp2040/20260910T125804.416262Z_rp2040_003,rp2040,RPI-PICO-RP2040-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,29970432,7492608,c1c51e7be4f8d40d61a8e2eb3520600f2fc802c55801260dac3662c7ca320968,c1c51e7be4f8d40d61a8e2eb3520600f2fc802c55801260dac3662c7ca320968,true
captures_noreg/rp2040/20260910T130031.187928Z_rp2040_004/transport.raw4,captures_noreg/rp2040/20260910T130031.187928Z_rp2040_004,rp2040,RPI-PICO-RP2040-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,29972480,7493120,dfc7d7676cea578f25b9214d9f69f0a969f3ced212dd397cf488ed889bf9c9d3,dfc7d7676cea578f25b9214d9f69f0a969f3ced212dd397cf488ed889bf9c9d3,true
captures_noreg/rp2040/20260910T130301.774656Z_rp2040_005/transport.raw4,captures_noreg/rp2040/20260910T130301.774656Z_rp2040_005,rp2040,RPI-PICO-RP2040-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,29970432,7492608,262f23cb171ba49a24739dd2a32ad4c7a40783da75c71d0f9b064c7686fc0b85,262f23cb171ba49a24739dd2a32ad4c7a40783da75c71d0f9b064c7686fc0b85,true
captures_noreg/rp2040/20260910T130531.202985Z_rp2040_006/transport.raw4,captures_noreg/rp2040/20260910T130531.202985Z_rp2040_006,rp2040,RPI-PICO-RP2040-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,29972480,7493120,b5cf156a8a5d99b0fded77a736a595946bb031f33efaa32a8884ccd77d17cd17,b5cf156a8a5d99b0fded77a736a595946bb031f33efaa32a8884ccd77d17cd17,true
captures_noreg/rp2040/20260910T130749.983681Z_rp2040_007/transport.raw4,captures_noreg/rp2040/20260910T130749.983681Z_rp2040_007,rp2040,RPI-PICO-RP2040-01-NOREG,selected_final,2026-09-10_ppk2_energy_profiling_v3_regulators_removed,structural_protocol_pass,,29970432,7492608,ea17eded09cc064cde70d6a9cedb4fdce65d6ac55454844cadc3dd05598975df,ea17eded09cc064cde70d6a9cedb4fdce65d6ac55454844cadc3dd05598975df,true
