board,experiment_id,experiment_manifest_sha256,physical_board_id,capture_directory,started_utc,ended_utc,sample_count,sample_time_error_percent,transport_sha256,csv_sha256,expected_firmware_sha256,capture_tool_sha256,analyzer_sha256
stm32,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,NUCLEO-F446RE-01,captures_max_clock/stm32/20260911T160210.593291Z_stm32_001,2026-09-11T16:02:10.675Z,2026-09-11T16:02:48.476Z,3771904,-0.02160086698771659,c36c365389dc45629f52922e8a5092b1f589de8ce467ef08c9320e348c5b1fcf,7e1b726f287c60e0297fbcbccf482c791092d37d3c3385dc0d0bce9c67ddb20d,9fa0531d09e2e55ab22d7f4eaa39d0a5a32b3d7c3c15cd6fda716621f6adfafd,3f360d81c2f0f2e69531665e02d85c5e1102944ab850217066addf5527052cfe,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
stm32,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,NUCLEO-F446RE-01,captures_max_clock/stm32/20260911T160324.851994Z_stm32_002,2026-09-11T16:03:24.857Z,2026-09-11T16:04:02.487Z,3755520,0.001178812017982262,e1fec190cd4e98bacb0554a547ce66dc62349f7f5f28d875a83d861e6f41c43a,4f54273241db38492e3ba729d6c9fcf9dbe3070ea88bc1afd710a4bb9eede57a,9fa0531d09e2e55ab22d7f4eaa39d0a5a32b3d7c3c15cd6fda716621f6adfafd,3f360d81c2f0f2e69531665e02d85c5e1102944ab850217066addf5527052cfe,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
stm32,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,NUCLEO-F446RE-01,captures_max_clock/stm32/20260911T160441.947679Z_stm32_003,2026-09-11T16:04:41.961Z,2026-09-11T16:05:19.584Z,3755008,0.00016750990467657715,4b78ed55fac63e90d4568e45197d9952c941654fe019d475e15db02c62b59696,1616b81db5220876f450ab225b9f45f0839b3fe2fffcffbe3c199aa0d51e50f3,9fa0531d09e2e55ab22d7f4eaa39d0a5a32b3d7c3c15cd6fda716621f6adfafd,3f360d81c2f0f2e69531665e02d85c5e1102944ab850217066addf5527052cfe,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
stm32,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,NUCLEO-F446RE-01,captures_max_clock/stm32/20260911T160557.028941Z_stm32_004,2026-09-11T16:05:57.035Z,2026-09-11T16:06:34.649Z,3753984,0.00012919626328787624,02e722c2f4d8ad5beb1827007daa61879ae8ae4b25a5635f72beb4ee76ac0ba7,97ac4e1b8c00fd8db121954aa35faa46d6ea20dcab6a90c1cbdb03ade499f313,9fa0531d09e2e55ab22d7f4eaa39d0a5a32b3d7c3c15cd6fda716621f6adfafd,3f360d81c2f0f2e69531665e02d85c5e1102944ab850217066addf5527052cfe,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
stm32,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,NUCLEO-F446RE-01,captures_max_clock/stm32/20260911T160710.600493Z_stm32_005,2026-09-11T16:07:10.609Z,2026-09-11T16:07:48.231Z,3754496,-0.0014627582126193585,08f48f2bcf3f1128941d12ca90d79c1652e2a42a4788d3cafed7127591b6a564,7babe8a392d597ea2349b4c52941ea3c8c4832c12569530448f54851e663bab2,9fa0531d09e2e55ab22d7f4eaa39d0a5a32b3d7c3c15cd6fda716621f6adfafd,3f360d81c2f0f2e69531665e02d85c5e1102944ab850217066addf5527052cfe,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
stm32,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,NUCLEO-F446RE-01,captures_max_clock/stm32/20260911T160824.202766Z_stm32_006,2026-09-11T16:08:24.212Z,2026-09-11T16:09:01.834Z,3755008,0.0012404921322135842,6d27a3b5f75eeab919b5a9047d2862c6f08fb31dc42a4199a3b629e3f5f49bf8,70042fef0e29fe38d4196c6a5fb5488b389ffd7e96209f91ef3b36720cbc4e45,9fa0531d09e2e55ab22d7f4eaa39d0a5a32b3d7c3c15cd6fda716621f6adfafd,3f360d81c2f0f2e69531665e02d85c5e1102944ab850217066addf5527052cfe,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
stm32,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,NUCLEO-F446RE-01,captures_max_clock/stm32/20260911T160937.804035Z_stm32_007,2026-09-11T16:09:37.811Z,2026-09-11T16:10:15.477Z,3753984,-0.011728828644262352,4bdfb89fc3ccf99147cab65efe1323b6793fc96e2bc49c896ab069c9025acc55,bb95accb9b36805ae6e2e583341d817aa886e8fe9d8b16d0d116bc93ae78e01b,9fa0531d09e2e55ab22d7f4eaa39d0a5a32b3d7c3c15cd6fda716621f6adfafd,3f360d81c2f0f2e69531665e02d85c5e1102944ab850217066addf5527052cfe,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
stm32,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,NUCLEO-F446RE-01,captures_max_clock/stm32/20260911T161055.838308Z_stm32_008,2026-09-11T16:10:55.843Z,2026-09-11T16:11:33.458Z,3753984,0.0017072820490630313,eb65949d4762325d3ea4beed7685a659c300afbc67062400c32b71c2cc7ee142,3bc67de6cd78259e2064524f09700a1fa9e2ad4ed5324dcad32b034f6cdafb25,9fa0531d09e2e55ab22d7f4eaa39d0a5a32b3d7c3c15cd6fda716621f6adfafd,3f360d81c2f0f2e69531665e02d85c5e1102944ab850217066addf5527052cfe,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
stm32,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,NUCLEO-F446RE-01,captures_max_clock/stm32/20260911T161211.208773Z_stm32_009,2026-09-11T16:12:11.218Z,2026-09-11T16:12:48.828Z,3753472,-0.0017905767166365692,1d7fadf926fcaecc918ec04f2a672877b96b2b42fcb94761c80fa42952568cae,cb5704d8d2694e6cc68f9ba7e640db345fd2bc0ef267e4d365435bbe7ddb334d,9fa0531d09e2e55ab22d7f4eaa39d0a5a32b3d7c3c15cd6fda716621f6adfafd,3f360d81c2f0f2e69531665e02d85c5e1102944ab850217066addf5527052cfe,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
stm32,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,NUCLEO-F446RE-01,captures_max_clock/stm32/20260911T161324.917116Z_stm32_010,2026-09-11T16:13:24.920Z,2026-09-11T16:14:02.536Z,3753984,0.0001454456798913736,c40d2fea81f9b927c446882d930cb7550157167ced9b47db65d5ea3a381deab0,5ac42c45eaad5cb9c7c31d0172266394d3f0d95bd7636bdecba4967c544b4782,9fa0531d09e2e55ab22d7f4eaa39d0a5a32b3d7c3c15cd6fda716621f6adfafd,3f360d81c2f0f2e69531665e02d85c5e1102944ab850217066addf5527052cfe,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
