board,physical_board_id,capture_directory,started_utc,ended_utc,sample_count,sample_time_error_percent,transport_sha256,csv_sha256,expected_firmware_sha256,capture_tool_sha256,analyzer_sha256
stm32,NUCLEO-F446RE-01,captures/stm32/20260910T115912.942104Z_stm32_001,2026-09-10T11:59:13.041Z,2026-09-10T12:00:05.097Z,5192704,-0.012681186601579991,ac780fca048240567a39e7ab920ef69622488e239bbc8c36e4e59ba47befe99e,a101872629ee5fe9a23c61e4700ad77e79132031f02b87f4d6869fac977b762a,159849461b7f3ade75b4b4674f4302327964ec31fc1404bc8609fd47f9e80b2d,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,35b8fdbbb41a3b1ae5ed2a4b98d7974dc07f23a8b894ba0366842acc6ebd1e01
stm32,NUCLEO-F446RE-01,captures/stm32/20260910T120054.572322Z_stm32_002,2026-09-10T12:00:54.577Z,2026-09-10T12:01:46.452Z,5179904,-0.00019942414536798614,ec01e831b87ae5b9754b53e82926a0214c89d0981587c49cae44f55ab709c5db,a7556f58b4dae765c0943502d8386644dd0def016785dc44f56d024f05ecfb66,159849461b7f3ade75b4b4674f4302327964ec31fc1404bc8609fd47f9e80b2d,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,35b8fdbbb41a3b1ae5ed2a4b98d7974dc07f23a8b894ba0366842acc6ebd1e01
stm32,NUCLEO-F446RE-01,captures/stm32/20260910T120239.878921Z_stm32_003,2026-09-10T12:02:39.885Z,2026-09-10T12:03:31.743Z,5178368,-0.00030608006555177383,a5d41d7a306d5e02b1eef78ed2bde070153d1ba08594c802b2a58d6a6a9a5780,5a332c2b441cd9c3652b41298aa473fd64ce45c36c5d561e89ae3a0495c17373,159849461b7f3ade75b4b4674f4302327964ec31fc1404bc8609fd47f9e80b2d,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,35b8fdbbb41a3b1ae5ed2a4b98d7974dc07f23a8b894ba0366842acc6ebd1e01
stm32,NUCLEO-F446RE-01,captures/stm32/20260910T120423.976352Z_stm32_004,2026-09-10T12:04:23.982Z,2026-09-10T12:05:15.889Z,5177856,-0.008155606416604054,4405de0fb925d2f94ac4de45b5a95b3f0a11b2f8c23f20f28ef73f37027165f0,60a806dede5efaa43b408d66824035dfb31c9b670e3dbf894c6ff5221a6c9d1c,159849461b7f3ade75b4b4674f4302327964ec31fc1404bc8609fd47f9e80b2d,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,35b8fdbbb41a3b1ae5ed2a4b98d7974dc07f23a8b894ba0366842acc6ebd1e01
stm32,NUCLEO-F446RE-01,captures/stm32/20260910T120607.538986Z_stm32_005,2026-09-10T12:06:07.543Z,2026-09-10T12:06:59.439Z,5176832,-0.008399412522526021,79be4cf746ad2c598b6eaca59eeb6aefb02403d83f243b285f5da9845a95429e,33e39ae650d3ea332b16370911a90cffef63ddd960a008eef41d0569b9c72b61,159849461b7f3ade75b4b4674f4302327964ec31fc1404bc8609fd47f9e80b2d,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,35b8fdbbb41a3b1ae5ed2a4b98d7974dc07f23a8b894ba0366842acc6ebd1e01
stm32,NUCLEO-F446RE-01,captures/stm32/20260910T120752.926254Z_stm32_006,2026-09-10T12:07:52.930Z,2026-09-10T12:08:44.789Z,5178368,0.0010806610055530865,6111157106aa4f3659015027bce75fda2b115c11a95c47f2d16acae129e2d060,da16c18558fec87a12511ad919afd08b23c0162f40871606199149ea59dc28f7,159849461b7f3ade75b4b4674f4302327964ec31fc1404bc8609fd47f9e80b2d,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,35b8fdbbb41a3b1ae5ed2a4b98d7974dc07f23a8b894ba0366842acc6ebd1e01
stm32,NUCLEO-F446RE-01,captures/stm32/20260910T120938.660983Z_stm32_007,2026-09-10T12:09:38.665Z,2026-09-10T12:10:30.534Z,5179392,0.00023709404203357595,ee41f40a08db31560dc1e0990987f6e359274d73998caf05e538db4ee5f2dac2,faaf94694d68dad92f6b683f91a893400c4c9ff7df35991671f60f8466072c04,159849461b7f3ade75b4b4674f4302327964ec31fc1404bc8609fd47f9e80b2d,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,35b8fdbbb41a3b1ae5ed2a4b98d7974dc07f23a8b894ba0366842acc6ebd1e01
stm32,NUCLEO-F446RE-01,captures/stm32/20260910T121124.479390Z_stm32_008,2026-09-10T12:11:24.486Z,2026-09-10T12:12:16.324Z,5176320,0.0006408068522930305,67a560041382c2c6948f09d8ea14eb0cbdd285a38f3b1ff7ae57623ecbca8531,5dadc0247d9251d130e1094e142969ba3a9e97c79046df73994c930c49dd476b,159849461b7f3ade75b4b4674f4302327964ec31fc1404bc8609fd47f9e80b2d,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,35b8fdbbb41a3b1ae5ed2a4b98d7974dc07f23a8b894ba0366842acc6ebd1e01
stm32,NUCLEO-F446RE-01,captures/stm32/20260910T121309.937316Z_stm32_009,2026-09-10T12:13:09.942Z,2026-09-10T12:14:01.793Z,5177856,0.0012080435504406514,c92771b56263ed4108e64a87257032ab0a92d2d6181f5209c4dd19e1526c3499,ef69e4a44e511f986c0a5cb13d5b633b21f00554bb2d4d8a3cdf23410b890c4f,159849461b7f3ade75b4b4674f4302327964ec31fc1404bc8609fd47f9e80b2d,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,35b8fdbbb41a3b1ae5ed2a4b98d7974dc07f23a8b894ba0366842acc6ebd1e01
stm32,NUCLEO-F446RE-01,captures/stm32/20260910T121455.333430Z_stm32_010,2026-09-10T12:14:55.340Z,2026-09-10T12:15:47.219Z,5180416,0.0014724903069506545,7c74a15fd5a78eb43e9e3a03f3e983237b28b2fc0a3f58ce53039c51fce6f729,337783004c91cd251f401ccf4c4be758acbdb31bb91496731cd54ec9671de59f,159849461b7f3ade75b4b4674f4302327964ec31fc1404bc8609fd47f9e80b2d,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,35b8fdbbb41a3b1ae5ed2a4b98d7974dc07f23a8b894ba0366842acc6ebd1e01
